date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:43:06	207/207	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Jun%202024%2004:43:07%20GMT	https://v160dln4x8.mobirisesite.com/robots.txt		(from )
07:43:07	32287/32287	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Jun%202024%2004:43:07%20GMT	https://v160dln4x8.mobirisesite.com/	D:/HTML/ARcheos/LandingPage/v160dln4x8.mobirisesite.com/index.html	(from )
07:43:07	3845/3845	---M--	200	added ('OK')	image/png	etag:%22b65c3e0d3dd0ce80cdebc4d515f858c9%22	https://r.mobirisesite.com/508342/assets/images/logopng-354x69.png?v=1Sj4c3	D:/HTML/ARcheos/LandingPage/r.mobirisesite.com/508342/assets/images/logopng-354x69c4b4.png	(from https://v160dln4x8.mobirisesite.com/)
07:43:07	8719/8719	---MCZ	200	added ('OK')	text/css	etag:W/%22de94d5403c55d82c656b75faadf1a7d3%22	https://r.mobirisesite.com/508342/assets/web/assets/mobirise-icons2/mobirise2.css	D:/HTML/ARcheos/LandingPage/r.mobirisesite.com/508342/assets/web/assets/mobirise-icons2/mobirise2.css	(from https://v160dln4x8.mobirisesite.com/)
07:43:08	155590/155590	---MCZ	200	added ('OK')	text/css	etag:W/%22466cd60948b2af44e5aa3b76e213785c%22	https://r.mobirisesite.com/508342/assets/bootstrap/css/bootstrap.min.css	D:/HTML/ARcheos/LandingPage/r.mobirisesite.com/508342/assets/bootstrap/css/bootstrap.min.css	(from https://v160dln4x8.mobirisesite.com/)
07:43:08	51457/51457	---MCZ	200	added ('OK')	text/css	etag:W/%22e86be8e37fb82ff90609635fe463480a%22	https://r.mobirisesite.com/508342/assets/bootstrap/css/bootstrap-grid.min.css	D:/HTML/ARcheos/LandingPage/r.mobirisesite.com/508342/assets/bootstrap/css/bootstrap-grid.min.css	(from https://v160dln4x8.mobirisesite.com/)
07:43:08	4623/4623	---MCZ	200	added ('OK')	text/css	etag:W/%22a5751a065a1c7de997f17a0f903ee683%22	https://r.mobirisesite.com/508342/assets/bootstrap/css/bootstrap-reboot.min.css	D:/HTML/ARcheos/LandingPage/r.mobirisesite.com/508342/assets/bootstrap/css/bootstrap-reboot.min.css	(from https://v160dln4x8.mobirisesite.com/)
07:43:08	335/335	---MCZ	200	added ('OK')	text/css	etag:W/%22b80225d900588f8298b80d0a248eb1ea%22	https://r.mobirisesite.com/508342/assets/parallax/jarallax.css	D:/HTML/ARcheos/LandingPage/r.mobirisesite.com/508342/assets/parallax/jarallax.css	(from https://v160dln4x8.mobirisesite.com/)
07:43:09	99437/99437	---MCZ	200	added ('OK')	text/css	etag:W/%2208617e3d544dde0b1097c07962037f32%22	https://r.mobirisesite.com/508342/assets/animatecss/animate.css	D:/HTML/ARcheos/LandingPage/r.mobirisesite.com/508342/assets/animatecss/animate.css	(from https://v160dln4x8.mobirisesite.com/)
07:43:09	7945/7945	---MCZ	200	added ('OK')	text/css	etag:W/%2255bf276f73ef7c88f98c8a79e9a42488%22	https://r.mobirisesite.com/508342/assets/dropdown/css/style.css	D:/HTML/ARcheos/LandingPage/r.mobirisesite.com/508342/assets/dropdown/css/style.css	(from https://v160dln4x8.mobirisesite.com/)
07:43:09	16463/16463	---MCZ	200	added ('OK')	text/css	etag:W/%22ed09a88f0d9335408c0c9bd261be9321%22	https://r.mobirisesite.com/508342/assets/socicon/css/styles.css	D:/HTML/ARcheos/LandingPage/r.mobirisesite.com/508342/assets/socicon/css/styles.css	(from https://v160dln4x8.mobirisesite.com/)
07:43:09	14855/14855	---MCZ	200	added ('OK')	text/css	etag:W/%22070d3d0c0f85bb50f5a14783c317cb15%22	https://r.mobirisesite.com/508342/assets/theme/css/style.css	D:/HTML/ARcheos/LandingPage/r.mobirisesite.com/508342/assets/theme/css/style.css	(from https://v160dln4x8.mobirisesite.com/)
07:43:10	43405/43405	---MCZ	200	added ('OK')	text/css	etag:W/%2299bb08c07e53c77a34fe5aefb664583c%22	https://r.mobirisesite.com/508342/assets/mobirise/css/mbr-additional.css?v=8NNvLy	D:/HTML/ARcheos/LandingPage/r.mobirisesite.com/508342/assets/mobirise/css/mbr-additionalcb4f.css	(from https://v160dln4x8.mobirisesite.com/)
07:43:10	58/58	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Jun%202024%2004:43:10%20GMT	https://v160dln4x8.mobirisesite.com/index.html	D:/HTML/ARcheos/LandingPage/v160dln4x8.mobirisesite.com/index-2.html	(from https://v160dln4x8.mobirisesite.com/)
07:43:10	58/58	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Jun%202024%2004:43:11%20GMT	https://v160dln4x8.mobirisesite.com/index.html	D:/HTML/ARcheos/LandingPage/v160dln4x8.mobirisesite.com/index-2.html	(from https://v160dln4x8.mobirisesite.com/)
07:43:10	58/58	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Jun%202024%2004:43:11%20GMT	https://v160dln4x8.mobirisesite.com/index.html	D:/HTML/ARcheos/LandingPage/v160dln4x8.mobirisesite.com/index-2.html	(from https://v160dln4x8.mobirisesite.com/)
07:43:11	58/58	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Jun%202024%2004:43:11%20GMT	https://v160dln4x8.mobirisesite.com/index.html	D:/HTML/ARcheos/LandingPage/v160dln4x8.mobirisesite.com/index-2.html	(from https://v160dln4x8.mobirisesite.com/)
07:43:11	168077/168077	---M--	200	added ('OK')	image/jpeg	etag:%22a9514f1fc7ff2a5247ade4bd108f86c9%22	https://r.mobirisesite.com/508342/assets/images/11.jpg?v=1Sj4c3	D:/HTML/ARcheos/LandingPage/r.mobirisesite.com/508342/assets/images/11c4b4.jpg	(from https://v160dln4x8.mobirisesite.com/)
07:43:11	112054/112054	---M--	200	added ('OK')	image/png	etag:%22e18c976c903532c82bb8a528b15b0c2c%22	https://r.mobirisesite.com/508342/assets/images/mockup-2400x1659.png?v=1Sj4c3	D:/HTML/ARcheos/LandingPage/r.mobirisesite.com/508342/assets/images/mockup-2400x1659c4b4.png	(from https://v160dln4x8.mobirisesite.com/)
07:43:12	84871/84871	---M--	200	added ('OK')	image/jpeg	etag:%225d164a6f8a6ef698741e42ecef0252e2%22	https://r.mobirisesite.com/508342/assets/images/13.jpg?v=1Sj4c3	D:/HTML/ARcheos/LandingPage/r.mobirisesite.com/508342/assets/images/13c4b4.jpg	(from https://v160dln4x8.mobirisesite.com/)
07:43:12	177244/177244	---M--	200	added ('OK')	image/jpeg	etag:%223681517689876726a215f3ae4adaa856%22	https://r.mobirisesite.com/508342/assets/images/gallery02.jpg?v=1Sj4c3	D:/HTML/ARcheos/LandingPage/r.mobirisesite.com/508342/assets/images/gallery02c4b4.jpg	(from https://v160dln4x8.mobirisesite.com/)
07:43:13	313152/313152	---M--	200	added ('OK')	image/jpeg	etag:%22d3c404569cd20463ac6fedf95db77e7b%22	https://r.mobirisesite.com/508342/assets/images/gallery01.jpg?v=1Sj4c3	D:/HTML/ARcheos/LandingPage/r.mobirisesite.com/508342/assets/images/gallery01c4b4.jpg	(from https://v160dln4x8.mobirisesite.com/)
07:43:13	87275/87275	---M--	200	added ('OK')	image/jpeg	etag:%226db0fa553a271bd05089c945a1423d53%22	https://r.mobirisesite.com/508342/assets/images/gallery03.jpg?v=1Sj4c3	D:/HTML/ARcheos/LandingPage/r.mobirisesite.com/508342/assets/images/gallery03c4b4.jpg	(from https://v160dln4x8.mobirisesite.com/)
07:43:13	78704/78704	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a7fa17686513b88a88156095c97a855d%22	https://r.mobirisesite.com/508342/assets/bootstrap/js/bootstrap.bundle.min.js	D:/HTML/ARcheos/LandingPage/r.mobirisesite.com/508342/assets/bootstrap/js/bootstrap.bundle.min.js	(from https://v160dln4x8.mobirisesite.com/)
07:43:13	112147/112147	---M--	200	added ('OK')	image/jpeg	etag:%22af82eb56fcfdfb51470a8644b071b403%22	https://r.mobirisesite.com/508342/assets/images/gallery04.jpg?v=1Sj4c3	D:/HTML/ARcheos/LandingPage/r.mobirisesite.com/508342/assets/images/gallery04c4b4.jpg	(from https://v160dln4x8.mobirisesite.com/)
07:43:14	19151/19151	---MCZ	200	added ('OK')	application/javascript	etag:W/%2274af8b40aca86a99039d118c4e1f6385%22	https://r.mobirisesite.com/508342/assets/parallax/jarallax.js	D:/HTML/ARcheos/LandingPage/r.mobirisesite.com/508342/assets/parallax/jarallax.js	(from https://v160dln4x8.mobirisesite.com/)
07:43:14	7548/7548	---MCZ	200	added ('OK')	application/javascript	etag:W/%2223a0a7b791595ef13b030c4a0632c723%22	https://r.mobirisesite.com/508342/assets/smoothscroll/smooth-scroll.js	D:/HTML/ARcheos/LandingPage/r.mobirisesite.com/508342/assets/smoothscroll/smooth-scroll.js	(from https://v160dln4x8.mobirisesite.com/)
07:43:14	27644/27644	---MCZ	200	added ('OK')	application/javascript	etag:W/%226eb96c03cc7eb102f2e51aa43fe864b5%22	https://r.mobirisesite.com/508342/assets/ytplayer/index.js	D:/HTML/ARcheos/LandingPage/r.mobirisesite.com/508342/assets/ytplayer/index.js	(from https://v160dln4x8.mobirisesite.com/)
07:43:14	3595/3595	---MCZ	200	added ('OK')	application/javascript	etag:W/%22791fa31552fc28004910071d482feb8d%22	https://r.mobirisesite.com/508342/assets/dropdown/js/navbar-dropdown.js	D:/HTML/ARcheos/LandingPage/r.mobirisesite.com/508342/assets/dropdown/js/navbar-dropdown.js	(from https://v160dln4x8.mobirisesite.com/)
07:43:15	26053/26053	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d442fa5d82b65dbad78e57ceeaf6a48b%22	https://r.mobirisesite.com/508342/assets/vimeoplayer/player.js	D:/HTML/ARcheos/LandingPage/r.mobirisesite.com/508342/assets/vimeoplayer/player.js	(from https://v160dln4x8.mobirisesite.com/)
07:43:15	3382/3382	---MCZ	200	added ('OK')	application/javascript	etag:W/%22592f075967d9d9772e376ae6a366b82f%22	https://r.mobirisesite.com/508342/assets/scrollgallery/scroll-gallery.js	D:/HTML/ARcheos/LandingPage/r.mobirisesite.com/508342/assets/scrollgallery/scroll-gallery.js	(from https://v160dln4x8.mobirisesite.com/)
07:43:15	1/1	---M--	200	added ('OK')	application/javascript	etag:%2268b329da9893e34099c7d8ad5cb9c940%22	https://r.mobirisesite.com/508342/assets/mbr-switch-arrow/mbr-switch-arrow.js	D:/HTML/ARcheos/LandingPage/r.mobirisesite.com/508342/assets/mbr-switch-arrow/mbr-switch-arrow.js	(from https://v160dln4x8.mobirisesite.com/)
